area_code,year,population_growth_pct,net_migration_rate,population,population_density,median_age,broadband_pct
E0600001,2010 [YR2010],0.42289303484845997,-2.3991424762118907,"124,534",286.81263242513654,39.3434726159819,
E0600001,2011 [YR2011],-0.3826161085931219,-1.5761787248942771,"124,058",285.715241091998,40.11674725239687,
E0600001,2012 [YR2012],0.1649308283652532,-2.3492382879216436,"124,945",287.75949751899867,39.453188307985585,
E0600001,2013 [YR2013],0.06966078723349495,-4.558762340591001,"124,795",287.41243787325647,40.201183079212804,62.02
E0600001,2014 [YR2014],-0.044951905355517435,-4.15613178759547,"124,310",286.2972690815005,40.13563239048483,70.40
E0600001,2015 [YR2015],0.09015241206768138,-3.693109742017757,"125,097",288.10780811627126,40.13110880414507,73.34
E0600001,2016 [YR2016],-0.07158394060623832,-3.930058481368026,"124,000",285.58296416943296,40.13501098010293,75.41
E0600001,2017 [YR2017],0.5606315316465179,-4.812754641174411,"129,504",298.25945522452423,40.416629950792775,79.21
E0600001,2018 [YR2018],-0.31171660199588946,-4.5596528934676375,"121,462",279.73783971685907,40.92067786148358,83.76
E0600001,2019 [YR2019],-0.040936570763496105,-5.457404285361026,"124,076",285.7576597764123,40.98098705032827,87.06
E0600001,2020 [YR2020],0.32638764914224233,-4.082626572407502,"128,659",296.31253830948305,40.991994354415226,86.01
E0600001,2021 [YR2021],-0.1257233957045052,-4.402996676397451,"122,823",282.87097629832783,40.99332112394952,92.66
E0600002,2010 [YR2010],1.1309100569889323,-3.1581469578503745,"86,097",76.41988833491943,38.20901041515244,63.04
E0600002,2011 [YR2011],1.7268760003990256,-5.359019448712064,"87,584",77.73956504610689,37.74297508586809,59.31
E0600002,2012 [YR2012],1.3015749316789924,-3.7726810596106626,"88,353",78.42215882635888,37.71007465800509,66.92
E0600002,2013 [YR2013],1.4507420905399848,-5.246342956671075,"89,899",79.79433932054778,38.561727053107006,68.16
E0600002,2014 [YR2014],0.8641896240925503,-6.517726534495588,"89,112",79.0959803393887,38.49142411307024,72.97
E0600002,2015 [YR2015],1.3093167134589145,-5.725821884639072,"91,883",81.55551414567827,38.60159011172177,75.33
E0600002,2016 [YR2016],1.0536898608308185,-5.913216454686278,"91,686",81.38033142914048,38.84538872210524,78.33
E0600002,2017 [YR2017],1.4382409004527739,-6.08164775281922,"95,148",84.45363822216964,38.59961328071927,80.50
E0600002,2018 [YR2018],1.7498131491928783,-6.881305422631725,"98,914",87.79612774235376,38.947942208007646,83.33
E0600002,2019 [YR2019],1.0030870605020628,-9.177560142045479,"94,189",83.60230060321261,38.937524357121916,88.76
E0600002,2020 [YR2020],1.1372233801015927,-5.198678649534517,"96,405",85.56904050323813,39.93792423058669,91.66
E0600002,2021 [YR2021],0.751059065204212,-5.963374264043174,"93,483",82.9759472293511,39.27988931123858,89.51
E0600003,2010 [YR2010],0.46578562366002174,-2.419826096708765,"100,819",105.9311401220549,40.847823658516575,57.89
E0600003,2011 [YR2011],-0.08331446219968686,-3.3993575712235304,"100,735",105.8428841623602,40.55704023633517,63.63
E0600003,2012 [YR2012],0.40415300643318364,-3.0868330775161907,"101,636",106.78911817272218,39.97045437326569,66.37
E0600003,2013 [YR2013],0.283592936342211,-0.6876861023615477,"101,679",106.8349380825526,40.00912343159431,65.44
E0600003,2014 [YR2014],-0.02949997872462609,-3.8611257508007064,"100,700",105.80619676784771,40.44460248544914,73.11
E0600003,2015 [YR2015],0.6070561801826324,-4.373336816600221,"103,917",109.18572293348578,40.9720713443421,69.69
E0600003,2016 [YR2016],0.10135318888286907,-6.108997373759314,"101,434",106.57696212224636,40.84847982169279,75.18
E0600003,2017 [YR2017],-0.07126060455192507,-4.152418481984837,"100,317",105.4038582302401,40.74714359958348,80.53
E0600003,2018 [YR2018],0.42617689525960095,-4.240804407430055,"104,308",109.59710590675826,41.27586834491792,82.26
E0600003,2019 [YR2019],0.3355230398442661,-3.50376033001695,"103,905",109.17321933775281,40.72826135046768,83.74
E0600003,2020 [YR2020],0.7486053809228064,-2.220825409016979,"108,626",114.13374759543049,40.75434398651944,88.98
E0600003,2021 [YR2021],0.27659922301062767,-3.5474564358076774,"103,929",109.19913855277414,41.37210764462397,94.04
E0600005,2010 [YR2010],0.20869207412303334,-2.804131133005977,"115,658",196.1362769834388,39.997128223682815,
E0600005,2011 [YR2011],0.20087011672155514,-0.07556652739352554,"115,890",196.53025615194875,39.259133866273054,
