area_code,area_name,year,gva_per_hour,median_weekly_pay,business_birth_rate,business_death_rate,housing_affordability_ratio,investment_index,public_sector_share_pct,manufacturing_share_pct,services_share_pct,record_status
E0600011,Bolton,2015,38.448131754454394,£488.92,8.540999654317533,10.123563508267823,7.492330989546008,108.64832705108428,19.89%,6.184763309425601,71.67685234225836,revised
E0600013,Liverpool,2011,36.93307558293102,£457.83,6.690348092013044,15.056057315383613,5.691967692379212,89.04618528352835,19.81%,7.285712161464721,68.14347385417466,revised
E0600043,Chelmsford,2012,35.472381998242106,£473.63,8.060200442138278,11.810017202556107,7.221143375463124,91.86569389976428,23.08%,6.698590657837521,73.52290497792812,revised
E0600066,"Bournemouth, Christchurch and Poole",2012,42.83948691492251,£447.53,7.465597253231157,15.774058460626728,5.209573868785418,94.43558607980074,15.13%,7.168257828046766,67.42109745852656,revised
E0600018,Bradford,2016,41.62639166862441,£514.17,7.563085916098475,10.3809954371831,8.68222735042352,93.54566211682584,17.91%,6.180878377793383,73.87354737104171,revised
E0600007,North Tyneside,2020,35.47035806393654,£517.52,9.764737978129817,12.653722489550782,7.5118102126959325,110.40190349250301,19.24%,11.35760771970038,70.68080347745658,revised
E0600047,Southend-on-Sea,2015,51.03576635687897,£524.62,9.17899074564934,9.550765090382763,8.562210328735011,102.66398818269037,15.89%,7.230983692587314,73.94977966918205,revised
E0600059,Milton Keynes,2019,49.96069470922769,£543.90,8.886254235272666,11.03039600965199,9.002330217191195,110.5960943387753,18.93%,7.638475481628888,72.8492439222563,revised
E0600054,Lambeth,2019,41.67154475312921,£513.19,8.546943032575628,11.589015870235905,7.065610043178996,99.87713784300777,18.92%,8.969423572540315,70.67530035823978,revised
E0600048,Watford,2015,45.6920885970326,£546.63,8.211714835048236,10.473373378975968,9.160198858366302,113.02122278343505,16.35%,9.374610287668002,73.70021031608474,revised
E0600069,Exeter,2015,48.17586120012831,£519.70,10.269213919617261,12.3447881508122,7.580537956259177,104.7657293303761,16.14%,7.407123838836459,73.04072467006728,revised
E0600056,Westminster,2011,52.888420148695374,£490.42,10.783873366122664,8.042527342584316,7.632784676582667,101.90868517709566,19.10%,7.832042486086636,72.60911673309947,revised
